town.id,town.name,Grand List Year,Residential Net,Residential Ratio,Residential Equalized,Apartments Net,Apartments Ratio,Apartments Equalized,CIP Net,CIP Ratio,CIP Equalized,Vacant Net,Vacant Ratio,Vacant Equalized,Land Use Net,Land Use Ratio,Land Use Equalized,Ten Mill Net,Ten Mill Ratio,Ten Mill Equalized,Total Real Property,Total Real Property Equalized,Total Personal Property MVPP,Total Personal Property Ratio,Total Personal Property Equalized,Total Net Assessment,engl12
95,New London,2012,845354713.00,91.97,919163546.00,133931820.00,92.05,145498990.00,469570092.00,98.24,477982586.00,12238260.00,92.05,13295231.00,810.00,70.00,1157.00,0.00,100.00,0.00,1461095695.00,1555941509.00,197352766.00,70.00,281932523.00,1658448461.00,1837874032.00
96,New Milford,2012,2025238645.00,73.00,2774299514.00,16856350.00,72.97,23100384.00,380190395.00,73.18,519527733.00,140098665.00,60.99,229707600.00,3056420.00,70.00,4366314.00,0.00,100.00,0.00,2565440475.00,3551001544.00,319803740.00,70.00,456862486.00,2885244215.00,4007864030.00
97,Newtown,2012,2387906592.00,70.00,3411295131.00,3045180.00,70.00,4350257.00,243657349.00,70.00,348081927.00,72402844.00,70.00,103432634.00,632130.00,70.00,903043.00,0.00,100.00,0.00,2707644095.00,3868062993.00,330188453.00,70.00,471697790.00,3037832548.00,4339760783.00
98,Norfolk,2012,217257600.00,85.90,252919208.00,0.00,85.90,0.00,10150800.00,85.90,11816997.00,11213030.00,85.90,13053586.00,50849350.00,70.00,72641929.00,0.00,100.00,0.00,289470780.00,350431719.00,20026650.00,70.00,28609500.00,309497430.00,379041219.00
99,North Branford,2012,939127568.00,70.03,1341036082.00,11250040.00,70.21,16023415.00,150531332.00,75.80,198590148.00,12137290.00,70.21,17287124.00,1143790.00,70.00,1633986.00,0.00,100.00,0.00,1114190020.00,1574570755.00,147500708.00,70.00,210715297.00,1261690728.00,1785286052.00
100,North Canaan,2012,154573110.00,70.00,220818729.00,5956270.00,70.00,8508957.00,72051130.00,70.00,102930186.00,6605010.00,70.00,9435729.00,20483070.00,70.00,29261529.00,0.00,100.00,0.00,259668590.00,370955129.00,48841350.00,70.00,69773357.00,308509940.00,440728486.00
101,North Haven,2012,1806621620.00,76.96,2347481315.00,35609430.00,76.77,46384564.00,596697435.00,67.45,884651497.00,6548850.00,77.00,8505000.00,558470.00,70.00,797814.00,0.00,100.00,0.00,2446035805.00,3287820191.00,368623537.00,70.00,526605053.00,2814659342.00,3814425244.00
102,North Stonington,2012,369441430.00,68.34,540593254.00,0.00,68.34,0.00,53497053.00,68.34,78280733.00,28380030.00,68.34,41527700.00,3903845.00,70.00,5576921.00,21120.00,100.00,21120.00,455243478.00,665999729.00,69727368.00,70.00,99610526.00,524970846.00,765610254.00
103,Norwalk,2012,8703967980.00,80.63,10794949746.00,361689580.00,80.29,450478989.00,2356818697.00,69.60,3386233760.00,117904634.00,95.33,123680514.00,458220.00,70.00,654600.00,0.00,100.00,0.00,11540839111.00,14755997608.00,1271466560.00,70.00,1816380800.00,12812305671.00,16572378408.00
104,Norwich,2012,1521294200.00,87.61,1736438991.00,82769400.00,87.43,94669335.00,449140510.00,76.11,590120234.00,53393000.00,87.43,61069427.00,1157800.00,70.00,1654000.00,0.00,100.00,0.00,2107754910.00,2483951987.00,316943090.00,70.00,452775843.00,2424698000.00,2936727830.00
105,Old Lyme,2012,1408223461.00,72.32,1947211644.00,3139855.00,72.16,4351240.00,67046479.00,52.74,127126430.00,24012220.00,109.81,21867061.00,5732580.00,70.00,8189400.00,0.00,100.00,0.00,1508154595.00,2108745775.00,99913900.00,70.00,142734143.00,1608068495.00,2251479918.00
106,Old Saybrook,2012,2021519200.00,84.55,2390915671.00,1689200.00,83.92,2012869.00,272233750.00,83.92,324396747.00,46808500.00,70.00,66869286.00,93200.00,70.00,133143.00,0.00,100.00,0.00,2342343850.00,2784327716.00,147369974.00,70.00,210528534.00,2489713824.00,2994856250.00
107,Orange,2012,1208060960.00,70.00,1725801371.00,14458620.00,70.00,20655171.00,399051000.00,70.00,570072857.00,37462750.00,70.00,53518214.00,954860.00,70.00,1364086.00,0.00,100.00,0.00,1659988190.00,2371411700.00,233119798.00,70.00,333028283.00,1893107988.00,2704439983.00
108,Oxford,2012,1080909405.00,69.59,1553253923.00,493500.00,69.37,711403.00,90904300.00,54.37,167195696.00,43176400.00,69.37,62240738.00,1628100.00,70.00,2325857.00,0.00,100.00,0.00,1217111705.00,1785727617.00,192022390.00,70.00,274317700.00,1409134095.00,2060045317.00
109,Plainfield,2012,512077220.00,70.00,731538886.00,15552780.00,70.00,22218257.00,154743850.00,70.00,221062643.00,22771690.00,70.00,32530986.00,2372030.00,70.00,3388614.00,0.00,100.00,0.00,707517570.00,1010739386.00,128732060.00,70.00,183902943.00,836249630.00,1194642329.00
110,Plainville,2012,804903350.00,71.08,1132390757.00,21408320.00,71.10,30110155.00,282934620.00,72.22,391767682.00,25659550.00,71.10,36089381.00,1558270.00,70.00,2226100.00,0.00,100.00,0.00,1136464110.00,1592584075.00,204618408.00,70.00,292312011.00,1341082518.00,1884896086.00
111,Plymouth,2012,554298883.00,73.52,753942986.00,274150.00,73.94,370774.00,55918620.00,76.15,73432200.00,31624080.00,85.89,36819280.00,11545150.00,70.00,16493071.00,0.00,100.00,0.00,653660883.00,881058311.00,103851969.00,70.00,148359956.00,757512852.00,1029418266.00
112,Pomfret,2012,277723700.00,86.88,319663559.00,1981700.00,86.92,2279913.00,25463700.00,86.92,29295559.00,9189560.00,89.48,10269960.00,3199820.00,70.00,4571171.00,24540.00,100.00,24540.00,317583020.00,366104702.00,40723778.00,70.00,58176826.00,358306798.00,424281528.00
113,Portland,2012,590399110.00,70.67,835431032.00,1091510.00,70.23,1554193.00,75001200.00,74.83,100228785.00,21415440.00,67.90,31539676.00,7320250.00,70.00,10457500.00,0.00,100.00,0.00,695227510.00,979211186.00,101100191.00,70.00,144428844.00,796327701.00,1123640030.00
114,Preston,2012,285457560.00,70.00,407796514.00,515800.00,70.00,736857.00,21311100.00,70.00,30444429.00,15758950.00,70.00,22512786.00,1950120.00,70.00,2785886.00,0.00,100.00,0.00,324993530.00,464276471.00,56898121.00,70.00,81283030.00,381891651.00,545559501.00
115,Prospect,2012,634585070.00,67.31,942779780.00,715000.00,67.89,1053174.00,60910570.00,67.89,89719502.00,6493640.00,67.89,9564943.00,173840.00,70.00,248343.00,0.00,100.00,0.00,702878120.00,1043365743.00,104637374.00,70.00,149481963.00,807515494.00,1192847706.00
116,Putnam,2012,363087334.00,78.00,465496582.00,10163800.00,78.00,13030513.00,142875885.00,95.83,149093066.00,15382200.00,65.20,23592331.00,1237300.00,70.00,1767571.00,0.00,100.00,0.00,532746519.00,652980063.00,95684616.00,70.00,136692309.00,628431135.00,789672372.00
117,Redding,2012,1303203560.00,70.00,1861719371.00,0.00,70.00,0.00,125730550.00,70.00,179615071.00,36668098.00,70.00,52382997.00,1143630.00,70.00,1633757.00,0.00,100.00,0.00,1466745838.00,2095351197.00,160021601.00,70.00,228602287.00,1626767439.00,2323953484.00
118,Ridgefield,2012,3773834343.00,70.00,5391191919.00,9701600.00,70.00,13859429.00,442332661.00,70.00,631903801.00,50496106.00,70.00,72137294.00,1867930.00,70.00,2668471.00,0.00,100.00,0.00,4278232640.00,6111760914.00,340860661.00,70.00,486943801.00,4619093301.00,6598704716.00
119,Rocky Hill,2012,1313111045.00,78.42,1674459379.00,82830640.00,78.36,105705258.00,499089970.00,80.08,623239223.00,5408080.00,73.51,7356931.00,869210.00,70.00,1241729.00,0.00,100.00,0.00,1901308945.00,2412002520.00,261064409.00,70.00,372949156.00,2162373354.00,2784951675.00
120,Roxbury,2012,606325520.00,70.00,866179314.00,0.00,70.00,0.00,2355770.00,70.00,3365386.00,49582120.00,70.00,70831600.00,3289140.00,70.00,4698771.00,0.00,100.00,0.00,661552550.00,945075071.00,32540440.00,70.00,46486343.00,694092990.00,991561414.00
121,Salem,2012,285699990.00,73.59,388232083.00,0.00,73.67,0.00,18827800.00,73.67,25556943.00,12321600.00,99.69,12359916.00,1147050.00,70.00,1638643.00,0.00,100.00,0.00,317996440.00,427787585.00,43083840.00,70.00,61548343.00,361080280.00,489335928.00
122,Salisbury,2012,804343420.00,75.06,1071600613.00,0.00,74.55,0.00,51962100.00,74.55,69701006.00,40207200.00,69.68,57702641.00,206546690.00,70.00,295066700.00,0.00,100.00,0.00,1103059410.00,1494070960.00,53144690.00,70.00,75920986.00,1156204100.00,1569991945.00
123,Scotland,2012,109869040.00,85.37,128697482.00,0.00,85.37,0.00,1415910.00,85.37,1658557.00,2787250.00,85.37,3264906.00,1269820.00,70.00,1814029.00,1610.00,100.00,1610.00,115343630.00,135436583.00,12572740.00,70.00,17961057.00,127916370.00,153397640.00
124,Seymour,2012,909090830.00,72.90,1247038176.00,14220780.00,73.12,19448550.00,111744410.00,73.12,152823318.00,22496040.00,84.70,26559669.00,251540.00,70.00,359343.00,0.00,100.00,0.00,1057803600.00,1446229056.00,151749105.00,70.00,216784436.00,1209552705.00,1663013492.00
125,Sharon,2012,706089240.00,86.12,819889967.00,0.00,86.89,0.00,44131900.00,86.89,50790540.00,47701850.00,124.90,38192034.00,14036690.00,70.00,20052414.00,0.00,100.00,0.00,811959680.00,928924955.00,39883136.00,70.00,56975909.00,851842816.00,985900864.00
126,Shelton,2012,2933774860.00,67.28,4360545273.00,61898170.00,67.26,92028204.00,842764610.00,78.64,1071674224.00,10218980.00,52.16,19591603.00,1259840.00,70.00,1799771.00,0.00,100.00,0.00,3849916460.00,5545639076.00,647306960.00,70.00,924724229.00,4497223420.00,6470363305.00
127,Sherman,2012,705020898.00,79.78,883706315.00,1907000.00,78.96,2415147.00,3417500.00,78.96,4328141.00,9304715.00,52.13,17849060.00,2065400.00,70.00,2950571.00,0.00,100.00,0.00,721715513.00,911249234.00,41693578.00,70.00,59562254.00,763409091.00,970811488.00
128,Simsbury,2012,1671920253.00,70.00,2388457504.00,30910700.00,70.00,44158143.00,253350920.00,70.00,361929886.00,17916870.00,70.00,25595529.00,1728860.00,70.00,2469800.00,0.00,100.00,0.00,1975827603.00,2822610861.00,259061352.00,70.00,370087646.00,2234888955.00,3192698507.00
129,Somers,2012,673860356.00,76.81,877308106.00,1264300.00,75.70,1670145.00,40072570.00,75.70,52936024.00,18347930.00,56.08,32717422.00,6323160.00,70.00,9033086.00,0.00,100.00,0.00,739868316.00,973664782.00,95461010.00,70.00,136372871.00,835329326.00,1110037653.00
130,Southbury,2012,1486805099.00,70.00,2124007284.00,21340470.00,70.00,30486386.00,288585620.00,70.00,412265171.00,37912310.00,70.00,54160443.00,1113110.00,70.00,1590157.00,0.00,100.00,0.00,1835756609.00,2622509441.00,264282745.00,70.00,377546779.00,2100039354.00,3000056220.00
131,Southington,2012,2656536091.00,67.96,3908970116.00,23605290.00,67.86,34785279.00,478499034.00,94.80,504745816.00,63194529.00,63.27,99880716.00,1483280.00,70.00,2118971.00,0.00,100.00,0.00,3223318224.00,4550500899.00,515410083.00,70.00,736300119.00,3738728307.00,5286801017.00
132,South Windsor,2012,1629489276.00,70.00,2327841823.00,0.00,70.00,0.00,411135690.00,70.00,587336700.00,38572100.00,70.00,55103000.00,2736480.00,70.00,3909257.00,0.00,100.00,0.00,2081933546.00,2974190780.00,385785202.00,70.00,551121717.00,2467718748.00,3525312497.00
133,Sprague,2012,109777040.00,70.00,156824343.00,1797390.00,70.00,2567700.00,15837390.00,70.00,22624843.00,4227700.00,70.00,6039571.00,5937370.00,70.00,8481957.00,0.00,100.00,0.00,137576890.00,196538414.00,26625421.00,70.00,38036316.00,164202311.00,234574730.00
134,Stafford,2012,556326074.00,72.35,768937214.00,6748750.00,72.35,9327920.00,60306725.00,96.03,62799880.00,23448950.00,64.08,36593243.00,1172440.00,70.00,1674914.00,1340.00,100.00,1340.00,648004279.00,879334511.00,116953270.00,70.00,167076100.00,764957549.00,1046410611.00
135,Stamford,2012,10718148492.00,70.00,15311640703.00,1119515480.00,70.00,1599307829.00,5174626474.00,70.00,7392323534.00,0.00,70.00,0.00,692750.00,70.00,989643.00,0.00,100.00,0.00,17012983196.00,24304261709.00,1934852205.00,70.00,2764074579.00,18947835401.00,27068336287.00
136,Sterling,2012,148120320.00,70.00,211600457.00,1085540.00,70.00,1550771.00,12567850.00,70.00,17954071.00,8693840.00,70.00,12419771.00,14069840.00,70.00,20099771.00,0.00,100.00,0.00,184537390.00,263624843.00,39746591.00,70.00,56780844.00,224283981.00,320405687.00
137,Stonington,2012,1898537310.00,70.00,2712196157.00,12976240.00,70.00,18537486.00,382072900.00,70.00,545818429.00,73795100.00,70.00,105421571.00,1186190.00,70.00,1694557.00,6010.00,100.00,6010.00,2368573750.00,3383674210.00,227410006.00,70.00,324871437.00,2595983756.00,3708545647.00
138,Stratford,2012,3136542575.00,71.80,4368443698.00,38774820.00,71.67,54101884.00,730102450.00,61.05,1195909009.00,67927795.00,71.67,94778561.00,99000.00,70.00,141429.00,0.00,100.00,0.00,3973446640.00,5713374580.00,562940850.00,70.00,804201214.00,4536387490.00,6517575795.00
139,Suffield,2012,1149873790.00,73.76,1558939520.00,6983200.00,73.76,9467462.00,103308125.00,73.76,140059822.00,4710870.00,92.78,5077463.00,6929800.00,70.00,9899714.00,0.00,100.00,0.00,1271805785.00,1723443982.00,157434602.00,70.00,224906574.00,1429240387.00,1948350556.00
140,Thomaston,2012,346415444.00,70.44,491787967.00,6458760.00,70.33,9183506.00,63552410.00,70.33,90363159.00,15118344.00,67.70,22331380.00,5859896.00,70.00,8371280.00,0.00,100.00,0.00,437404854.00,622037292.00,90285020.00,70.00,128978600.00,527689874.00,751015892.00
141,Thompson,2012,479865925.00,75.56,635079308.00,2383200.00,75.91,3139507.00,27763430.00,75.91,36574140.00,20205680.00,107.47,18801228.00,2624490.00,70.00,3749271.00,0.00,100.00,0.00,532842725.00,697343455.00,81466318.00,70.00,116380454.00,614309043.00,813723910.00
142,Tolland,2012,1057783400.00,73.26,1443875785.00,5901000.00,72.95,8089102.00,81544610.00,72.95,111781508.00,4626085.00,66.97,6907697.00,1163600.00,70.00,1662286.00,0.00,100.00,0.00,1151018695.00,1572316378.00,145377911.00,70.00,207682730.00,1296396606.00,1779999108.00
143,Torrington,2012,1567835480.00,83.45,1878772295.00,28431250.00,82.95,34275166.00,379231200.00,72.32,524379425.00,41139030.00,62.65,65664852.00,925880.00,70.00,1322686.00,0.00,100.00,0.00,2017562840.00,2504414423.00,346442945.00,70.00,494918493.00,2364005785.00,2999332916.00
144,Trumbull,2012,3108236600.00,66.89,4646788160.00,23086300.00,66.90,34508670.00,792140200.00,67.37,1175805551.00,29171400.00,66.90,43604484.00,54000.00,70.00,77143.00,0.00,100.00,0.00,3952688500.00,5900784008.00,513989643.00,70.00,734270919.00,4466678143.00,6635054926.00
145,Union,2012,75935810.00,79.58,95420721.00,0.00,80.06,0.00,5968140.00,80.06,7454584.00,4846310.00,80.06,6053347.00,1068180.00,70.00,1525971.00,0.00,100.00,0.00,87818440.00,110454624.00,10814894.00,70.00,15449849.00,98633334.00,125904473.00
146,Vernon,2012,1127507520.00,72.52,1554753889.00,128586390.00,72.06,178443505.00,230289300.00,73.23,314473986.00,7111140.00,72.57,9799008.00,359110.00,70.00,513014.00,0.00,100.00,0.00,1493853460.00,2057983402.00,241286145.00,70.00,344694493.00,1735139605.00,2402677895.00
147,Voluntown,2012,159951634.00,74.72,214068033.00,39740.00,76.56,51907.00,8881680.00,76.56,11600940.00,6107100.00,80.23,7611991.00,737248.00,70.00,1053211.00,0.00,100.00,0.00,175717402.00,234386082.00,23708222.00,70.00,33868889.00,199425624.00,268254971.00
148,Wallingford,2012,2693257270.00,71.46,3768901861.00,24172800.00,71.31,33898191.00,817581370.00,63.26,1292414433.00,34280830.00,70.01,48965619.00,1863000.00,70.00,2661429.00,0.00,100.00,0.00,3571155270.00,5146841532.00,649933555.00,70.00,928476507.00,4221088825.00,6075318040.00
149,Warren,2012,211941740.00,70.00,302773914.00,0.00,70.00,0.00,5250490.00,70.00,7500700.00,25772260.00,70.00,36817514.00,83037300.00,70.00,118624714.00,0.00,100.00,0.00,326001790.00,465716843.00,16803860.00,70.00,24005514.00,342805650.00,489722357.00
150,Washington,2012,934697560.00,85.48,1093469303.00,0.00,80.98,0.00,48767840.00,86.87,56138874.00,71887780.00,77.59,92650831.00,143528570.00,70.00,205040814.00,0.00,100.00,0.00,1198881750.00,1447299823.00,56022471.00,70.00,80032101.00,1254904221.00,1527331924.00
151,Waterbury,2012,2067875625.00,70.00,2954108036.00,213584937.00,70.00,305121339.00,975190141.00,70.00,1393128773.00,51229024.00,70.00,73184320.00,216310.00,70.00,309014.00,0.00,100.00,0.00,3308096037.00,4725851481.00,722566058.00,70.00,1032237226.00,4030662095.00,5758088707.00
152,Waterford,2012,1388623050.00,70.00,1983747214.00,5877600.00,70.00,8396571.00,822021035.00,70.00,1174315764.00,50317150.00,70.00,71881643.00,814480.00,70.00,1163543.00,0.00,100.00,0.00,2267653315.00,3239504736.00,906061183.00,70.00,1294373119.00,3173714498.00,4533877854.00
153,Watertown,2012,1457740560.00,80.98,1800124179.00,11345000.00,82.68,13721577.00,227297320.00,83.54,272082021.00,0.00,111.42,0.00,537650.00,70.00,768071.00,0.00,100.00,0.00,1696920530.00,2086695848.00,261910615.00,70.00,374158021.00,1958831145.00,2460853869.00
154,Westbrook,2012,859639657.00,69.75,1232458290.00,5669790.00,69.75,8128731.00,142127430.00,69.75,203766925.00,41883020.00,67.42,62122545.00,318610.00,70.00,455157.00,0.00,100.00,0.00,1049638507.00,1506931648.00,85432080.00,70.00,122045829.00,1135070587.00,1628977476.00
155,West Hartford,2012,4362321195.00,64.76,6736135261.00,83749541.00,64.76,129322948.00,848201568.00,65.23,1300324342.00,29107330.00,49.12,59257594.00,4730.00,70.00,6757.00,0.00,100.00,0.00,5323384364.00,8225046901.00,567603336.00,70.00,810861909.00,5890987700.00,9035908810.00
156,West Haven,2012,1975865266.00,75.29,2624339575.00,110316500.00,75.11,146873253.00,383202709.00,59.83,640485892.00,20369300.00,64.30,31678538.00,19090.00,70.00,27271.00,0.00,100.00,0.00,2489772865.00,3443404529.00,333672171.00,70.00,476674530.00,2823445036.00,3920079059.00
157,Weston,2012,2496625550.00,74.39,3356130596.00,0.00,75.88,0.00,27913900.00,75.88,36786900.00,0.00,123.08,0.00,2100.00,70.00,3000.00,93000.00,100.00,93000.00,2524634550.00,3393013496.00,136072362.00,70.00,194389089.00,2660706912.00,3587402584.00
158,Westport,2012,7904736210.00,65.72,12027900502.00,10919380.00,65.74,16609948.00,1161345460.00,69.14,1679701273.00,126589560.00,56.01,226012426.00,290000.00,70.00,414286.00,0.00,100.00,0.00,9203880610.00,13950638435.00,596698209.00,70.00,852426013.00,9800578819.00,14803064448.00
159,Wethersfield,2012,1805641340.00,75.32,2397293335.00,58619600.00,75.25,77899801.00,231889810.00,70.74,327805782.00,0.00,74.12,0.00,502900.00,70.00,718429.00,0.00,100.00,0.00,2096653650.00,2803717346.00,240387930.00,70.00,343411329.00,2337041580.00,3147128675.00
160,Willington,2012,331991950.00,76.85,431999935.00,22378570.00,78.20,28617097.00,55184520.00,78.20,70568440.00,13530360.00,78.20,17302251.00,1617220.00,70.00,2310314.00,11220.00,100.00,11220.00,424713840.00,550809257.00,54954949.00,70.00,78507070.00,479668789.00,629316327.00
161,Wilton,2012,3185678440.00,70.00,4550969200.00,19205270.00,70.00,27436100.00,603177220.00,70.00,861681743.00,39010720.00,70.00,55729600.00,455640.00,70.00,650914.00,0.00,100.00,0.00,3847527290.00,5496467557.00,390559020.00,70.00,557941457.00,4238086310.00,6054409014.00
162,Winchester,2012,491791845.00,70.00,702559779.00,14461580.00,70.00,20659400.00,68658210.00,70.00,98083157.00,16595440.00,70.00,23707771.00,1015810.00,70.00,1451157.00,0.00,100.00,0.00,592522885.00,846461264.00,95995845.00,70.00,137136921.00,688518730.00,983598186.00
163,Windham,2012,553132995.00,84.10,657708674.00,0.00,83.25,0.00,167776670.00,83.25,201533538.00,76696130.00,79.77,96146584.00,10883590.00,70.00,15547986.00,0.00,100.00,0.00,808489385.00,970936781.00,154427490.00,70.00,220610700.00,962916875.00,1191547481.00
164,Windsor,2012,1632875039.00,75.77,2155041625.00,16360484.00,75.83,21575213.00,724613273.00,77.61,933659674.00,19816510.00,75.83,26132810.00,3597440.00,70.00,5139200.00,0.00,100.00,0.00,2397262746.00,3141548522.00,619228730.00,70.00,884612471.00,3016491476.00,4026160993.00
165,Windsor Locks,2012,637816810.00,74.87,851899038.00,14995700.00,74.59,20104169.00,318998940.00,59.62,535053573.00,0.00,74.59,0.00,149980.00,70.00,214257.00,0.00,100.00,0.00,971961430.00,1407271038.00,298510519.00,70.00,426443599.00,1270471949.00,1833714636.00
166,Wolcott,2012,999743210.00,68.31,1463538589.00,6045690.00,68.10,8877665.00,78302250.00,63.63,123058699.00,27152300.00,68.10,39871219.00,337230.00,70.00,481757.00,0.00,100.00,0.00,1111580680.00,1635827929.00,147417024.00,70.00,210595749.00,1258997704.00,1846423677.00
167,Woodbridge,2012,972654600.00,71.05,1368971992.00,924980.00,71.05,1301872.00,77477260.00,71.05,109046108.00,14846340.00,71.05,20895623.00,1960360.00,70.00,2800514.00,0.00,100.00,0.00,1067863540.00,1503016109.00,133579640.00,70.00,190828057.00,1201443180.00,1693844166.00
168,Woodbury,2012,991925060.00,83.71,1184954080.00,13676760.00,83.95,16291555.00,90422990.00,83.95,107710530.00,34325830.00,118.05,29077366.00,2976140.00,70.00,4251629.00,0.00,100.00,0.00,1133326780.00,1342285158.00,104560006.00,70.00,149371437.00,1237886786.00,1491656595.00
169,Woodstock,2012,542269090.00,70.91,764728656.00,0.00,71.23,0.00,28067600.00,71.23,39404184.00,18028640.00,90.00,20031822.00,2937140.00,70.00,4195914.00,0.00,100.00,0.00,591302470.00,828360576.00,76447600.00,70.00,109210857.00,667750070.00,937571433.00
